id_cliente,nombre_cliente,tipo_cliente,segmento_cliente,fecha_apertura,edad,region,ingreso_anual,puntuacion_credito,empleado_asignado,sucursal_principal,activo
EF4FC95C,Tracey Travis,VIP,Nuevo,2014-01-02,25,Internacional,1850764.1,0,Connor Ellis,Sucursal 9 - Centro,False
2AC70154,Diaz-Becker,Gobierno,Corporativo,2017-06-11,0,Oeste,1617946.28,0,Dennis Rojas,Sucursal 9 - Centro,True
E02507A7,"Day, Graham and Middleton",ONG,Nuevo,2015-07-12,0,Internacional,1904823.16,0,Stephen George,Sucursal 14 - Norte,False
92EE8AFB,Julie Underwood,VIP,Corporativo,2017-02-04,75,Centro,1766299.33,0,Brenda Richards,Sucursal 2 - Sur,False
C47A1156,"Barber, Jones and Thompson",Empresa,Plata,2014-05-23,0,Metropolitana,2335145.46,0,John Simpson,Sucursal 20 - Este,True
C346C33B,"Wolfe, Barker and Lara",Empresa,Bronce,2012-05-07,0,Este,4694609.84,0,William Carpenter,Sucursal 13 - Centro,False
829005E1,"Spencer, Fields and Hernandez",Empresa,Nuevo,2020-06-27,0,Oeste,4622617.06,0,Brenda Richards,Sucursal 20 - Este,False
234AE080,Nguyen-Mills,Empresa,Institucional,2018-06-23,0,Centro,946239.38,0,Gina Gill,Sucursal 2 - Sur,True
27371E59,Zachary Mccoy,Estudiante,Institucional,2023-08-07,74,Metropolitana,1130282.02,0,Peter Johnson,Sucursal 15 - Sur,True
6572DD4D,Alicia Taylor,VIP,Diamante,2021-08-09,25,Este,1625191.5,0,Joseph Arnold,Sucursal 12 - Sur,False
8ECDAC0F,Erika Stephens,Jubilado,Diamante,2022-06-26,73,Norte,2514061.47,0,Ashley Nielsen,Sucursal 20 - Este,False
88FFBC21,Logan LLC,Gobierno,Oro,2023-06-22,0,Oeste,3790602.58,0,Amanda Nguyen,Sucursal 8 - Oeste,False
E93BF61A,Edward Mahoney,Jubilado,Diamante,2013-04-04,22,Norte,2223278.33,0,Denise Brown,Sucursal 20 - Este,False
09EEE7F2,Andrew Johnson,Individual,Institucional,2020-11-09,73,Metropolitana,30556.69,412,Jared Herman,Sucursal 15 - Sur,False
52E7254D,"Delgado, Moore and Wood",PYME,Corporativo,2012-07-19,0,Metropolitana,727091.7,590,Kelly Floyd,Sucursal 10 - Norte,False
F806FF47,Coleman-Boyd,Empresa,Diamante,2021-11-20,0,Oeste,691035.88,0,Amanda Nguyen,Sucursal 3 - Este,False
CC24801D,Chad Knight,Jubilado,Nuevo,2010-10-17,60,Norte,2004420.21,0,Justin Skinner,Sucursal 11 - Centro,True
E5866C0A,Lee-Carney,PYME,Bronce,2018-11-22,0,Internacional,2112148.36,519,Connor Ellis,Sucursal 13 - Centro,True
12981616,Sara Hill,Individual,Institucional,2011-07-04,57,Norte,314491.36,401,Gina Gill,Sucursal 9 - Centro,True
FDD1694D,Mrs. Emily Smith,Estudiante,Plata,2020-04-07,38,Internacional,3421145.33,0,Timothy Robertson,Sucursal 6 - Oeste,True
FEF01C2D,"Blake, Anderson and Carey",Empresa,Institucional,2018-06-13,0,Centro,3757070.52,0,Luis Francis,Sucursal 12 - Sur,True
59DA0FBD,Cox-Baker,Gobierno,Plata,2011-10-01,0,Metropolitana,4997768.97,0,Connor Ellis,Sucursal 9 - Centro,False
1B183DD3,David Graves,Jubilado,Institucional,2011-11-17,31,Metropolitana,2094346.93,0,Jason Miller,Sucursal 20 - Este,False
6E364259,Flores Ltd,ONG,Oro,2018-07-16,0,Centro,875775.86,0,Amanda Nguyen,Sucursal 3 - Este,False
045AED3F,Kenneth Davis,Estudiante,Diamante,2011-06-14,18,Norte,1559483.77,0,Gina Gill,Sucursal 8 - Oeste,False
CE7C9A56,Hayden and Sons,ONG,Nuevo,2012-04-21,0,Sur,3362882.56,0,Tiffany Chavez,Sucursal 5 - Oeste,True
E8330B0B,"Gates, Henry and Wilson",Empresa,Bronce,2020-08-01,0,Sur,4528422.75,0,Scott Hines,Sucursal 8 - Oeste,False
8C3F296C,Johnson Group,Empresa,Oro,2012-06-28,0,Oeste,4088704.67,0,Megan Thomas,Sucursal 15 - Sur,False
ED89CB6C,Stevenson Ltd,Gobierno,Diamante,2010-08-30,0,Metropolitana,3429847.88,0,John Simpson,Sucursal 4 - Norte,True
6D2F2F6B,Johnson Ltd,PYME,Platino,2011-09-12,0,Este,294702.3,330,Joseph Arnold,Sucursal 19 - Norte,False
D104CA4B,"Spears, Davis and Moore",ONG,Bronce,2015-10-15,0,Este,1888333.29,0,Larry Moore,Sucursal 6 - Oeste,True
0724A064,Lewis-Suarez,Gobierno,Platino,2023-11-01,0,Oeste,3435308.92,0,Dennis Rojas,Sucursal 10 - Norte,False
9D43B971,Devin May,Jubilado,Corporativo,2016-04-28,56,Metropolitana,4782603.14,0,Jared Herman,Sucursal 11 - Centro,True
8B109A1A,Patterson PLC,Empresa,Diamante,2010-11-07,0,Centro,1352959.19,0,Patricia Anderson,Sucursal 12 - Sur,True
675B5716,Scott Saunders,VIP,Oro,2023-12-25,68,Internacional,3777137.47,0,Deborah Fitzgerald,Sucursal 14 - Norte,False
3487681C,Stewart PLC,ONG,Corporativo,2014-05-26,0,Centro,577001.94,0,Jason Miller,Sucursal 19 - Norte,False
